,Category,Month,Year,Count
0,Education,Nov,2017,20017
0,Energy & Green Tech,Nov,2017,769
0,Health & Fitness,Nov,2017,12195
0,Fashion & Wearables,Nov,2017,10059
0,Wellness,Nov,2017,945
1,Education,Nov,2018,0
1,Energy & Green Tech,Nov,2018,423
1,Health & Fitness,Nov,2018,883
1,Fashion & Wearables,Nov,2018,870
1,Wellness,Nov,2018,570
2,Education,Nov,2019,0
2,Energy & Green Tech,Nov,2019,1494
2,Health & Fitness,Nov,2019,2520
2,Fashion & Wearables,Nov,2019,2520
2,Wellness,Nov,2019,1950
3,Education,Nov,2020,2520
3,Energy & Green Tech,Nov,2020,1740
3,Health & Fitness,Nov,2020,2520
3,Fashion & Wearables,Nov,2020,2520
3,Wellness,Nov,2020,2211
4,Education,Sept,2021,2520
4,Energy & Green Tech,Sept,2021,2067
4,Health & Fitness,Sept,2021,2520
4,Fashion & Wearables,Sept,2021,2520
4,Wellness,Sept,2021,2469
